,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
1589,"Java from Zero to First Job, Practical Guide, 1500+ examples","<strong>Java</strong> Core, TDD, Streams, Lambdas, JPA/Hibernate, SQL, Build Tools, Git, Web Servers, HTML, Servlets, JSP, Spring etc",Rating: 4.5 out of 5,4197 reviews,76.5 total hours,307 lectures,All Levels,"Andrii Piatakha, Learn IT University"
1590,Core Java Made Easy (Covers the latest Java 17),Master <strong>java</strong> in quick and simple steps,Rating: 4.5 out of 5,12214 reviews,28 total hours,542 lectures,All Levels,Bharath Thippireddy
1591,Selenium WebDriver with Java -Basics to Advanced+Frameworks,"""TOP RATED  #1 Master SELENIUM <strong>java</strong> 4 (Latest) course"" -5 Million students learning worldWide with great collaboration",Rating: 4.6 out of 5,94317 reviews,54 total hours,329 lectures,All Levels,Rahul Shetty
1592,"Java Multithreading, Concurrency & Performance Optimization","Become an expert in Multithreading, Concurrency & Parallel programming in <strong>Java</strong>, with strong emphasis on high performance",Rating: 4.6 out of 5,8457 reviews,4.5 total hours,34 lectures,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1593,Modern Java - Learn Java 8 features by coding it,"Learn Lambdas, Streams , new Date APIs, Optionals and Parallel programming in <strong>Java</strong> 8 by coding it.",Rating: 4.5 out of 5,7741 reviews,11 total hours,102 lectures,All Levels,Pragmatic Code School
1594,Data Structures and Algorithms:  Deep Dive Using Java,"Learn about Arrays,  Linked Lists, Trees,  Hashtables, Stacks,  Queues,  Heaps, Sort algorithms and Search algorithms",Rating: 4.5 out of 5,13878 reviews,16 total hours,116 lectures,Intermediate,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy"
1595,Java 8 New Features In Simple Way,"Direct Class Room Videos To give Left and Right Anywhere about Lambda Expressions,Streams and More",Rating: 4.7 out of 5,12161 reviews,20.5 total hours,93 lectures,All Levels,DURGASOFT DURGA
1596,Full Stack: Angular and Java Spring Boot E-Commerce Website,Build a Full Stack E-Commerce website with Angular and <strong>Java</strong> Spring Boot (includes Stripe Credit Card Payments),Rating: 4.6 out of 5,7615 reviews,26 total hours,321 lectures,Intermediate,"Chad Darby, Harinath Kuntamukkala"
1597,Java Application Performance Tuning and Memory Management,"Discover how coding choices, benchmarking, performance tuning and memory management can optimize your <strong>Java</strong> applications",Rating: 4.6 out of 5,3100 reviews,10 total hours,134 lectures,Intermediate,"Matt Greencroft, Virtual Pair Programmers"
1598,Java 11 For Complete Beginners,Learn Modern <strong>Java</strong> From Scratch,Rating: 4.8 out of 5,680 reviews,49 total hours,431 lectures,Beginner,John Purcell
1599,The Complete Java Developer Course -Mastering Java from zero,Learn <strong>Java</strong> from Zero to Hero. Become a Computer Programmer and start building complex projects. Earn <strong>Java</strong> Certification,Rating: 4.6 out of 5,248 reviews,53.5 total hours,344 lectures,All Levels,Abbass Masri
1600,Data Structures & Algorithms - Java,DSA for the Cracking the Coding Interview.  ⚡ Animated Examples for Faster Learning and Deeper Understanding.,Rating: 4.7 out of 5,1033 reviews,8.5 total hours,112 lectures,All Levels,Scott Barrett
1601,Java from Beginner to Expert,This <strong>Java</strong> course was created especially for beginners in <strong>Java</strong>. Learn <strong>Java</strong> from scratch. Become <strong>Java</strong> Expert!,Rating: 4.4 out of 5,4338 reviews,11.5 total hours,89 lectures,All Levels,Arkadiusz Włodarczyk
1602,[NEW] Master Spring Boot 3 & Spring Framework 6 with Java,"Become <strong>Java</strong> Spring Boot Full Stack Cloud Developer. Learn AWS, React, Docker, Spring Data JPA & Spring Security.",Rating: 4.7 out of 5,706 reviews,38 total hours,379 lectures,All Levels,in28Minutes Official
1603,Rest API Testing (Automation) from Scratch-Rest Assured Java,"""Top Ranked #1 Rest API Test Automation & postman tutorial with <strong>Java</strong> from Basics to Framework with Real time examples",Rating: 4.5 out of 5,28468 reviews,27.5 total hours,167 lectures,All Levels,Rahul Shetty
1604,Advanced Java Challenge - Interview Practice Tests,,Rating: 4.7 out of 5,5 reviews,102 questions,,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1605,"Preparation to Java Technical Interview - Java Core, Java EE",,Rating: 0.0 out of 5,0 reviews,5 total hours,45 lectures,All Levels,Andrii Piatakha
1606,Java for Dummies with Handson Program and Capstone Project,,Rating: 5.0 out of 5,4 reviews,12.5 total hours,102 lectures,Beginner,Ranjan Pandey
1607,Advanced One Day Java Workshop from Java 8 to 17,,Rating: 4.8 out of 5,27 reviews,5.5 total hours,30 lectures,Intermediate,Arunan Ramanathan
1608,Java Course for Beginners with Practical Project Examples,,Rating: 4.2 out of 5,3 reviews,14 total hours,61 lectures,All Levels,Balvir Chahal
1609,Java Bootcamp for Beginners 2023: Hands-on approach with CS,,Rating: 0.0 out of 5,0 reviews,8 total hours,93 lectures,Beginner,"Seb D. Karter | MSc, MBA"
1610,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,5 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
1611,Building Java using Gradle on Jenkins,,Rating: 5.0 out of 5,1 review,2 total hours,20 lectures,Beginner,John Valentino
1612,Learn Java Functional Programming with Lambdas & Streams,Learn <strong>Java</strong> Functional Programming with Lambdas & Streams. Learn the most powerful NEW feature in <strong>Java</strong> 8 and <strong>Java</strong> 9.,Rating: 4.6 out of 5,4912 reviews,4.5 total hours,44 lectures,All Levels,in28Minutes Official
1613,Practice Java by Building Projects,Ultimate <strong>Java</strong> interview prep course! 100% focused on applying object-oriented design in real-world applications,Rating: 4.5 out of 5,10098 reviews,3.5 total hours,39 lectures,All Levels,Tim Short
1614,Learn Java Programming Crash Course,This <strong>Java</strong> For Beginners Course Includes <strong>Java</strong> Basics And Core <strong>Java</strong> Skills Training To Make You A Software Developer Fast,Rating: 4.6 out of 5,3489 reviews,12.5 total hours,148 lectures,Beginner,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy"
1615,Java Data Structures and Algorithms Masterclass,Data Structures and Algorithms from Zero to Hero and Crack Top Companies 100+ Interview questions (<strong>Java</strong> Coding),Rating: 4.4 out of 5,3269 reviews,45.5 total hours,425 lectures,All Levels,Elshad Karimov
1616,Complete Core Java In Simple Way,Direct Class Room Videos to get complete knowledge on <strong>java</strong>,Rating: 4.5 out of 5,638 reviews,100.5 total hours,501 lectures,All Levels,DURGASOFT NAGOOR BABU
1617,Advanced Java Topics: Java Reflection - Master Class,"Create Powerful <strong>Java</strong> Applications, Algorithms and Libraries using <strong>Java</strong> Reflection API, Take Full Advantage of the JVM",Rating: 4.7 out of 5,450 reviews,5 total hours,37 lectures,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1618,Master Java Web Services and REST API with Spring Boot,Build <strong>Java</strong> Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,Rating: 4.5 out of 5,12700 reviews,12 total hours,134 lectures,All Levels,in28Minutes Official
1619,Java 7 & Java 8 new features with Lambdas & Streams,Learn <strong>Java</strong> functional programing with Lambda & Streams. Learn the exciting & powerful new features of <strong>Java</strong> 7 and <strong>Java</strong> 8,Rating: 4.6 out of 5,671 reviews,10 total hours,78 lectures,All Levels,Eazy Bytes
1620,Master Microservices with Spring Boot and Spring Cloud,"<strong>Java</strong> Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",Rating: 4.6 out of 5,42215 reviews,22 total hours,261 lectures,All Levels,in28Minutes Official
1621,Java for Complete Beginners | Learn Core Java using IntelliJ,"Learn <strong>Java</strong> Programming by doing, Object Oriented Programming (oop <strong>java</strong>), IntelliJ for complete beginners using <strong>Java</strong> 17",Rating: 4.6 out of 5,2232 reviews,24 total hours,203 lectures,Intermediate,"Faisal Memon, EmbarkX Official"
1622,Java Programming Masterclass: Learn Java From Scratch,"<strong>Java</strong> Programming For Beginners, Learn <strong>Java</strong> From Scratch, Become A <strong>Java</strong> Developer Learning <strong>Java</strong> Right From The Basics.",Rating: 4.6 out of 5,1074 reviews,16.5 total hours,162 lectures,Beginner,Ashutosh Pawar
1623,Java Design Patterns & SOLID Design Principles,A master guide to gang of four design patterns & SOLID design principles using <strong>Java</strong>,Rating: 4.5 out of 5,3535 reviews,17 total hours,253 lectures,Intermediate,Coffee Powered Crew
1624,Lambdas in Java - From Zero to Hero,Master <strong>Java</strong> 8 Lambda Expressions and the Stream API,Rating: 4.7 out of 5,130 reviews,18.5 total hours,166 lectures,Intermediate,Ajay Iyengar
1625,Complete Java SE 8 Developer Bootcamp - OCA Prep Included,"Master the Foundations of <strong>Java</strong> and the Topics of the Oracle Certified Associate, <strong>Java</strong> SE 8 Programmer Exam (1Z0-808)",Rating: 4.5 out of 5,8689 reviews,12 total hours,165 lectures,All Levels,"Intertech Training, Jeff Jensen"
1626,Learn Cucumber BDD with Java -MasterClass Selenium Framework,Step by Step Cucumber BDD Framework Tutorial with <strong>Java</strong> and implement Robust Selenium WebDriver Framework from scratch,Rating: 4.6 out of 5,8358 reviews,13.5 total hours,86 lectures,All Levels,Rahul Shetty
1627,Learn Advanced Java,From Basic <strong>Java</strong> Skills to Advanced Multi-Tier Architecture and More,Rating: 4.5 out of 5,313 reviews,19.5 total hours,171 lectures,Intermediate,John Purcell
1628,JDBC Servlets and JSP - Java Web Development Fundamentals,Create <strong>Java</strong> Web Applications from scratch in easy steps,Rating: 4.4 out of 5,4117 reviews,9 total hours,202 lectures,All Levels,Bharath Thippireddy
1629,The Complete Java Developer Course: From Beginner to Master!,"Master theory AND practice, and get comfortable with one of the world's most popular programming languages!",Rating: 4.6 out of 5,144 reviews,9.5 total hours,64 lectures,Beginner,"Codestars • over 2 million students worldwide!, John P. Baugh"
1630,"Java Web Development / Jakarta EE 8(Servlet, JSP, MVC,Maven)","JEE Architecture and Technologies, Servlet 2 & 4, JSP 2, JSTL, MVC, Maven, JDBC, MySql, HTML, CSS,JS and (Spring vs JEE)",Rating: 4.6 out of 5,289 reviews,13.5 total hours,140 lectures,All Levels,Java Corner (Karim)
1631,Project Development Using JAVA for Beginners - 2023,Learn <strong>Java</strong> from scratch and become Software Engineer.,Rating: 4.5 out of 5,2282 reviews,45.5 total hours,122 lectures,All Levels,Hemanth kumar
1632,Advanced Java Challenge - Interview Practice Tests,,Rating: 4.7 out of 5,5 reviews,102 questions,,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1633,"Preparation to Java Technical Interview - Java Core, Java EE",,Rating: 0.0 out of 5,0 reviews,5 total hours,45 lectures,All Levels,Andrii Piatakha
1634,Java for Dummies with Handson Program and Capstone Project,,Rating: 5.0 out of 5,4 reviews,12.5 total hours,102 lectures,Beginner,Ranjan Pandey
1635,Advanced One Day Java Workshop from Java 8 to 17,,Rating: 4.8 out of 5,27 reviews,5.5 total hours,30 lectures,Intermediate,Arunan Ramanathan
1636,Java Course for Beginners with Practical Project Examples,,Rating: 4.2 out of 5,3 reviews,14 total hours,61 lectures,All Levels,Balvir Chahal
1637,Java Bootcamp for Beginners 2023: Hands-on approach with CS,,Rating: 0.0 out of 5,0 reviews,8 total hours,93 lectures,Beginner,"Seb D. Karter | MSc, MBA"
1638,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,5 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
1639,Building Java using Gradle on Jenkins,,Rating: 5.0 out of 5,1 review,2 total hours,20 lectures,Beginner,John Valentino
1640,Java Interview Guide : 200+ Interview Questions and Answers,Get Ready for your <strong>Java</strong> Interview with 200+ <strong>Java</strong> Interview Questions for Beginners,Rating: 4.6 out of 5,6423 reviews,6 total hours,55 lectures,Beginner,in28Minutes Official
1641,"Java New Features (Java 12, Java 11, Java 10, Java9 & Java8)","<strong>Java</strong> New Features Introduced In Java12, Java11, Java10, <strong>Java</strong> 9, <strong>Java</strong> 8, <strong>Java</strong> 7 (Lambda, Streams, JPMS, Jlink, Joda etc)",Rating: 4.3 out of 5,790 reviews,4.5 total hours,79 lectures,Beginner,Java Fast Forward JFF
1642,Thinking Beyond Java 8,<strong>Java</strong> 9 to <strong>Java</strong> 17: A step by step navigation,Rating: 4.5 out of 5,130 reviews,12 total hours,162 lectures,Beginner,Ajay Iyengar
1643,Selenium WebDriver with Java for beginners,Selenium WebDriver with <strong>Java</strong> and TestNG. Tutorial designed for complete beginners in Selenium testing and automation,Rating: 4.6 out of 5,10504 reviews,6.5 total hours,46 lectures,Beginner,Dmitry Shyshkin
1644,Selenium 4 WebDriver with Java(Basics + Advance + Architect),"#1 2022 TOP RATED, BEST SELLER Course on SELENIUM 4.0, Trusted by 500,000+ students with Many Live Projects & Frameworks",Rating: 4.5 out of 5,16509 reviews,143 total hours,463 lectures,All Levels,Rahul Arora
1645,Java Programming: Learn Core Java and Improve Java Skills,Learn core <strong>Java</strong> Programming with this core <strong>Java</strong> course.This <strong>java</strong> programming course will take you more experienced level,Rating: 4.9 out of 5,236 reviews,8 total hours,88 lectures,All Levels,Oak Academy
1646,Core Java for Automation Testers- Coding made Easy,A step by step Practical tutorial to master in <strong>JAVA</strong> with tons of Programming examples and Interview Questions,Rating: 4.5 out of 5,4592 reviews,10 total hours,78 lectures,All Levels,Rahul Shetty
1647,Java Virtual Threads and Continuations,"Learn about Project Loom, <strong>Java</strong> Virtual Threads and Delimited Continuations",Rating: 4.9 out of 5,24 reviews,4 total hours,33 lectures,Intermediate,Viraj Shetty
1648,Java Streams API Developer Guide,Functional Programming with <strong>Java</strong> 8,Rating: 4.6 out of 5,3112 reviews,2.5 total hours,45 lectures,All Levels,Nelson Jamal
1649,Java Reactive Programming [ From Scratch ],<strong>Java</strong> Asynchronous & Non Blocking programming With Reactor,Rating: 4.6 out of 5,1091 reviews,12 total hours,180 lectures,All Levels,Vinoth Selvaraj
1650,Complete Java 8 OCA (1Z0-808) Java Certification Course,"<strong>Java</strong> for Beginners - Whiteboard explanations, Code, Assignments and MCQ Questions to master core <strong>Java</strong> and get Certified",Rating: 4.6 out of 5,238 reviews,12 total hours,131 lectures,All Levels,"Dr. Seán Kennedy OCA, OCP"
1651,"Learn Selenium with Java, Cucumber + Live Project","Core <strong>Java</strong>, Selenium WebDriver, TestNG , Cucumber, Maven, Jenkins, GIT, GitHub, Automation Frameworks",Rating: 4.6 out of 5,2054 reviews,76 total hours,54 lectures,All Levels,Pavan Kumar
1652,Java SE 11 Developer 1Z0-819 OCP Course - Part 1,Getting <strong>Java</strong> Certified is great for your career.  Acquire the skills to pass the Oracle <strong>Java</strong> certification exam!,Rating: 4.5 out of 5,3213 reviews,12.5 total hours,132 lectures,Intermediate,"Tim Buchalka, Tim Buchalka's Learn Programming Academy"
1653,"Master Microservices with Java, Spring, Docker, Kubernetes","Learn & Develop Microservices with <strong>Java</strong>, Spring Boot, Spring Cloud, Docker, Kubernetes, Helm, Microservices Security",Rating: 4.6 out of 5,2461 reviews,24 total hours,180 lectures,All Levels,Eazy Bytes
1654,Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,"<strong>Java</strong> Spring Boot Framework in 100 steps - Build a REST API and a Web application with <strong>Java</strong>, JPA, SpringBoot and Maven",Rating: 4.5 out of 5,11632 reviews,15.5 total hours,157 lectures,All Levels,in28Minutes Official
1655,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of <strong>Java</strong> Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Rating: 4.4 out of 5,24843 reviews,12.5 total hours,142 lectures,All Levels,in28Minutes Official
1656,Microservices with gRPC [Java + Spring Boot + Protobuf],"Next generation Microservice. Develop Faster, Scalable, Streaming APIs!",Rating: 4.6 out of 5,722 reviews,9.5 total hours,156 lectures,All Levels,Vinoth Selvaraj
1657,"Multithreading,Parallel & Asynchronous Coding in Modern Java",Learn to use Multithreading in <strong>Java</strong> using the ParallelStreams API and CompletableFuture API using the Hands-On approach.,Rating: 4.5 out of 5,985 reviews,7 total hours,65 lectures,Intermediate,Pragmatic Code School
1658,"Introduction to Collections, Generics & Reflection in Java","A Guide to Understand Generics, Collections Framework (Data Structures), Stream API and Reflection in <strong>Java</strong>!",Rating: 4.7 out of 5,2799 reviews,9.5 total hours,105 lectures,All Levels,Holczer Balazs
1659,Java Web Services,"Learn how to design,create , consume and secure SOAP   and REST web services  from scratch in easy steps.",Rating: 4.6 out of 5,8862 reviews,17 total hours,334 lectures,All Levels,Bharath Thippireddy
1660,Advanced Java Challenge - Interview Practice Tests,,Rating: 4.7 out of 5,5 reviews,102 questions,,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1661,"Preparation to Java Technical Interview - Java Core, Java EE",,Rating: 0.0 out of 5,0 reviews,5 total hours,45 lectures,All Levels,Andrii Piatakha
1662,Java for Dummies with Handson Program and Capstone Project,,Rating: 5.0 out of 5,4 reviews,12.5 total hours,102 lectures,Beginner,Ranjan Pandey
1663,Advanced One Day Java Workshop from Java 8 to 17,,Rating: 4.8 out of 5,27 reviews,5.5 total hours,30 lectures,Intermediate,Arunan Ramanathan
1664,Java Course for Beginners with Practical Project Examples,,Rating: 4.2 out of 5,3 reviews,14 total hours,61 lectures,All Levels,Balvir Chahal
1665,Java Bootcamp for Beginners 2023: Hands-on approach with CS,,Rating: 0.0 out of 5,0 reviews,8 total hours,93 lectures,Beginner,"Seb D. Karter | MSc, MBA"
1666,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,5 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
1667,Building Java using Gradle on Jenkins,,Rating: 5.0 out of 5,1 review,2 total hours,20 lectures,Beginner,John Valentino
1668,Learn Java Unit Testing with Junit & Mockito in 30 Steps,Learn Mockito and JUnit - the most popular <strong>Java</strong> unit testing and mocking frameworks - with 25 Examples,Rating: 4.4 out of 5,16422 reviews,5 total hours,39 lectures,All Levels,in28Minutes Official
1669,Java Collections from basics to Advanced,"Data Structure using <strong>Java</strong> Collection Framework - Including Concurrent Collections, Streams, Generics, Parallel Streams",Rating: 4.4 out of 5,974 reviews,11.5 total hours,104 lectures,All Levels,Basics Strong
1670,Java Programming - A Complete Java course to Become Java Ace,Go from Beginner to <strong>Java</strong> Expert in Just 7 Days! Crack your next <strong>Java</strong> Coding Interview by Mastering in <strong>Java</strong> programming,Rating: 4.5 out of 5,1509 reviews,9 total hours,78 lectures,All Levels,Vinoth P
1671,Distributed Systems & Cloud Computing with Java,"Learn Distributed <strong>Java</strong> Applications at Scale, Parallel Programming, Distributed Computing & Cloud Software Architecture",Rating: 4.8 out of 5,2292 reviews,7.5 total hours,51 lectures,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1672,Java and Spring Framework for Beginners with Spring Boot,"In this course, you will learn the highly demanded frameworks of enterprise world:  Spring Framework 5 with Spring Boot",Rating: 4.4 out of 5,10519 reviews,18 total hours,165 lectures,Beginner,Navin Reddy
1673,Go Java Full Stack with Spring Boot and Angular,Become a Full Stack <strong>Java</strong> Developer. Build Your First <strong>Java</strong> Full Stack Application with Angular and Spring Boot.,Rating: 4.5 out of 5,8374 reviews,11.5 total hours,131 lectures,All Levels,in28Minutes Official
1674,Building Real-Time REST APIs with Spring Boot - Blog App,"Building REST API’s using Spring Boot, Spring Security 6, JWT, Spring Data JPA, Hibernate, MySQL, Docker & Deploy on AWS",Rating: 4.5 out of 5,1322 reviews,29.5 total hours,285 lectures,Intermediate,Ramesh Fadatare (Java Guides)
1675,Java in 3 Hours: Java Programming Tutorial for Beginners,Learn <strong>Java</strong> in 3 Hours. <strong>Java</strong> Made Easy. No Previous Experience Required. Ultimate Guide to <strong>Java</strong>. Master <strong>Java</strong> Programming.,Rating: 4.4 out of 5,175 reviews,2.5 total hours,31 lectures,Beginner,Ajay Warrier
1676,Java for Beginners: Your Easy Guide to Java Programming,You can learn <strong>Java</strong> quickly & easily. This <strong>Java</strong> for Beginners course will help beginners jump into <strong>Java</strong> programming.,Rating: 4.6 out of 5,44 reviews,6.5 total hours,147 lectures,Beginner,"Video School, Matt Speake"
1677,Java Debugging With IntelliJ IDEA,Practical course learning <strong>java</strong> debugging using Intellij IDEA with step by step details multiple hands on examples,Rating: 4.6 out of 5,652 reviews,3 total hours,49 lectures,All Levels,Learning From Experience
1678,Apache Kafka Series - Learn Apache Kafka for Beginners v3,"START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World <strong>Java</strong> Producers/Consumers & Big Data Architecture",Rating: 4.7 out of 5,36368 reviews,8.5 total hours,121 lectures,All Levels,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy"
1679,Selenium WebDriver with Java & PYTHON: Novice to Framework,"Selenium WebDriver, Core <strong>Java</strong>, TestNG, Cucumber, Maven, Jenkins, GIT, Selenium Automation Frameworks, Python, PyTest",Rating: 4.5 out of 5,5695 reviews,54.5 total hours,266 lectures,All Levels,LevelUp360° DevOps | Selenium | GCP | Terraform | Kubernetes | Ansible
1680,Object Oriented Programming - Basics to Advance (Java OOP),"Learn OOP, SOLID principles with <strong>Java</strong> examples. Implement backend part for online store by the end of the course",Rating: 4.4 out of 5,1350 reviews,8 total hours,40 lectures,Intermediate,"Andrii Piatakha, Learn IT University"
1681,Absolute Introduction to Object Oriented Programming in Java,"Prerequisite to ""Master Object Oriented Design in <strong>Java</strong>"".",Rating: 4.5 out of 5,5934 reviews,2 total hours,11 lectures,Beginner,Imtiaz Ahmad
1682,45 Real World Java Development Projects Bootcamp Course 2022,"<strong>Java</strong> Programming Course: Learn Development Of <strong>JAVA</strong> Projects Using JSP,JDBC, Servlets, Swing, Spring Boot,Maven,Hibernate",Rating: 3.6 out of 5,208 reviews,75.5 total hours,397 lectures,All Levels,Engineering Org In
1683,Introduction to Java for Programmers,"With over 200 videos and 20 hours of content, this <strong>Java</strong> training course will teach you to program in <strong>Java</strong> 7 and Eclipse.",Rating: 4.7 out of 5,1366 reviews,20 total hours,207 lectures,Beginner,Learn by the Byte
1684,Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",Rating: 4.7 out of 5,2075 reviews,7 total hours,45 lectures,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1685,Java for Beginners - Learn all the Basics of Java,Learn <strong>Java</strong> programming with various <strong>java</strong> projects- Understand key <strong>Java</strong> elements and be able to create basic <strong>java</strong> apps,Rating: 4.3 out of 5,2787 reviews,5.5 total hours,33 lectures,Beginner,Yassin Marco
1686,Java: a COMPLETE tutorial from ZERO to JDBC,Learn <strong>Java</strong> programming language from start to finish with Oracle <strong>Java</strong> certified expert Mr Lawrence Decamora,Rating: 4.9 out of 5,67 reviews,20 total hours,154 lectures,All Levels,"LearningWhilePracticing LWP, Lawrence Decamora"
1687,Spring Framework In Easy Steps,Create an End to End <strong>Java</strong> EE Web Application using Spring,Rating: 4.5 out of 5,8321 reviews,13 total hours,290 lectures,All Levels,Bharath Thippireddy
1688,Advanced Java Challenge - Interview Practice Tests,,Rating: 4.7 out of 5,5 reviews,102 questions,,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
1689,"Preparation to Java Technical Interview - Java Core, Java EE",,Rating: 0.0 out of 5,0 reviews,5 total hours,45 lectures,All Levels,Andrii Piatakha
1690,Java for Dummies with Handson Program and Capstone Project,,Rating: 5.0 out of 5,4 reviews,12.5 total hours,102 lectures,Beginner,Ranjan Pandey
1691,Advanced One Day Java Workshop from Java 8 to 17,,Rating: 4.8 out of 5,27 reviews,5.5 total hours,30 lectures,Intermediate,Arunan Ramanathan
1692,Java Course for Beginners with Practical Project Examples,,Rating: 4.2 out of 5,3 reviews,14 total hours,61 lectures,All Levels,Balvir Chahal
1693,Java Bootcamp for Beginners 2023: Hands-on approach with CS,,Rating: 0.0 out of 5,0 reviews,8 total hours,93 lectures,Beginner,"Seb D. Karter | MSc, MBA"
1694,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,5 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
1695,Building Java using Gradle on Jenkins,,Rating: 5.0 out of 5,1 review,2 total hours,20 lectures,Beginner,John Valentino
1696,Java Enterprise Edition 8 for Beginners course,"Understand Jakarta EE, JPA, CDI, JAX-RS, REST, JWT, JSON-P and JSON-B and more. Add ""JEE Developer"" to your résumé!",Rating: 4.4 out of 5,2584 reviews,30 total hours,385 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Luqman Saeed"
1697,Java for Testers,Start your test automation career by learning <strong>Java</strong> from this specifically designed for beginners course.,Rating: 4.7 out of 5,239 reviews,6 total hours,69 lectures,Beginner,Dmitry Shyshkin
1698,Testing Java with JUnit 5 & Mockito,Unit Testing & Integration Testing of <strong>Java</strong> and Spring Boot applications. Test Driven Development(TDD) Explained.,Rating: 4.6 out of 5,372 reviews,7.5 total hours,113 lectures,All Levels,Sergey Kargopolov
1699,"Concurrency, Multithreading and Parallel Computing in Java","Multithreading and Concurrent Programming, Parallel Computation and MapReduce in <strong>Java</strong> + Fork-Join and Stream API",Rating: 4.6 out of 5,2739 reviews,10.5 total hours,110 lectures,All Levels,Holczer Balazs
1700,Complete JDBC Programming Part-1,Direct Class Room Videos To give Left and Right Anywhere about <strong>Java</strong> Database Programming,Rating: 4.6 out of 5,1265 reviews,23 total hours,75 lectures,All Levels,DURGASOFT DURGA
1701,Selenium WebDriver 4 With Java - Novice To Ninja + Interview,"Join the ""Top Rated Selenium 4 Updated Course""-Basics To Advanced Level With POM, Grid, Maven, GitHub,Jenkins,Interviews",Rating: 4.5 out of 5,9722 reviews,44 total hours,290 lectures,All Levels,Lets Kode It
1702,Design Patterns in Java,Discover the modern implementation of design patterns in <strong>Java</strong>,Rating: 4.1 out of 5,7418 reviews,10.5 total hours,123 lectures,Intermediate,Dmitri Nesteruk
1703,Java Programming - a solid foundation for new developers,A practical hands-on approach to learning the <strong>Java</strong> programming language. Start creating JVM projects with core <strong>Java</strong>.,Rating: 4.4 out of 5,105 reviews,14.5 total hours,109 lectures,Beginner,"Matt Greencroft, Virtual Pair Programmers"
1704,Develop Minecraft Plugins (Java),High-quality tutorials providing you with the most sustainable practices available to make Minecraft plugins.,Rating: 4.8 out of 5,3208 reviews,34 total hours,133 lectures,All Levels,Stephen King
1705,Introduction to Java EE,Learn the Fundamentals of <strong>Java</strong> EE and Learn How to Package & Deploy an App,Rating: 4.5 out of 5,1346 reviews,1.5 total hours,20 lectures,Beginner,Ocho Tech
1706,Java Basics for Beginners: Learn Coding with Java,Learn <strong>Java</strong> Basics with Real Coding Examples. Become a <strong>Java</strong> Programmer From Complete Beginner,Rating: 4.7 out of 5,79 reviews,2 total hours,16 lectures,Beginner,Victor Gorinov
1707,Kotlin for Java Developers,"Use your <strong>Java</strong> skills to learn Kotlin fast. Enhance career prospects and master Kotlin, including <strong>Java</strong> interoperability",Rating: 4.5 out of 5,3890 reviews,17 total hours,90 lectures,All Levels,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy"
1708,Maven Crash Course,Create a multi module maven <strong>java</strong> web applicaiton project in easy steps,Rating: 4.4 out of 5,12895 reviews,6.5 total hours,135 lectures,All Levels,Bharath Thippireddy
1709,Oracle Java Certification - Pass the Associate 1Z0-808 Exam.,This course will help you learn the steps to becoming an Oracle Certified Associate (OCA) and get a higher paying job!,Rating: 4.4 out of 5,4798 reviews,20 total hours,134 lectures,All Levels,"Tim Buchalka's Learn Programming Academy, Goran Lochert"
1710,Master Hibernate and JPA with Spring Boot in 100 Steps,"Learn Hibernate, JPA (<strong>Java</strong> Persistence API) and Spring Data JPA using Spring and Spring Boot",Rating: 4.5 out of 5,9123 reviews,14 total hours,164 lectures,All Levels,in28Minutes Official
